symbol
AAPL
MSFT
AMZN
NVDA
GOOGL
META
BRK.B
TSLA
UNH
XOM
JPM
JNJ
V
PG
MA
LLY
HD
CVX
MRK
PEP
ABBV
COST
AVGO
KO
BAC
WMT
ADBE
ACN
CSCO
PFE
TMO
CRM
ABT
QCOM
MCD
DHR
NKE
LIN
TXN
NEE
INTC
MS
AMD
AMGN
LOW
MDT
UNP
ORCL
PM
UPS
SCHW
RTX
CVS
INTU
GS
HON
SBUX
BLK
BA
NOW
AMAT
ISRG
CAT
IBM
GE
LMT
MO
ADI
T
BKNG
DE
SPGI
ELV
TJX
MDLZ
ZTS
SYK
GILD
MMC
CB
ADI
AXP
CI
PGR
PLD
C
ADP
TGT
FDX
SO
DUK
APD
CL
REGN
BSX
GM
BDX
FISV
ATVI
HCA
EOG
USB
ITW
ICE
VRTX
NSC
ETN
AON
AEP
WM
